[03:00:29] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[03:00:30] [ServerMain/INFO]: Loaded 7 recipes
[03:00:30] [ServerMain/INFO]: Loaded 1271 advancements
[03:00:31] [Server thread/INFO]: Starting minecraft server version 1.20
[03:00:31] [Server thread/INFO]: Loading properties
[03:00:31] [Server thread/INFO]: Default game type: SURVIVAL
[03:00:31] [Server thread/INFO]: Generating keypair
[03:00:31] [Server thread/INFO]: Starting Minecraft server on *:25565
[03:00:31] [Server thread/INFO]: Using epoll channel type
[03:00:31] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[03:00:31] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[03:00:31] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[03:00:31] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[03:00:31] [Server thread/INFO]: Preparing level "world"
[03:00:36] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[03:00:37] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[03:00:37] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:00:37] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[03:00:38] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[03:00:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:00:39] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[03:00:39] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[03:00:40] [Worker-Main-1/INFO]: Preparing spawn area: 2%
[03:00:40] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[03:00:41] [Worker-Main-3/INFO]: Preparing spawn area: 4%
[03:00:41] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[03:00:42] [Worker-Main-1/INFO]: Preparing spawn area: 6%
[03:00:42] [Worker-Main-1/INFO]: Preparing spawn area: 8%
[03:00:43] [Worker-Main-1/INFO]: Preparing spawn area: 9%
[03:00:43] [Worker-Main-3/INFO]: Preparing spawn area: 11%
[03:00:44] [Worker-Main-2/INFO]: Preparing spawn area: 13%
[03:00:44] [Worker-Main-1/INFO]: Preparing spawn area: 15%
[03:00:45] [Worker-Main-2/INFO]: Preparing spawn area: 16%
[03:00:45] [Worker-Main-3/INFO]: Preparing spawn area: 18%
[03:00:46] [Worker-Main-1/INFO]: Preparing spawn area: 20%
[03:00:46] [Worker-Main-2/INFO]: Preparing spawn area: 22%
[03:00:47] [Worker-Main-3/INFO]: Preparing spawn area: 24%
[03:00:47] [Worker-Main-2/INFO]: Preparing spawn area: 26%
[03:00:48] [Worker-Main-3/INFO]: Preparing spawn area: 29%
[03:00:48] [Worker-Main-3/INFO]: Preparing spawn area: 31%
[03:00:49] [Worker-Main-3/INFO]: Preparing spawn area: 33%
[03:00:49] [Worker-Main-3/INFO]: Preparing spawn area: 35%
[03:00:50] [Worker-Main-2/INFO]: Preparing spawn area: 37%
[03:00:50] [Worker-Main-3/INFO]: Preparing spawn area: 41%
[03:00:51] [Worker-Main-1/INFO]: Preparing spawn area: 43%
[03:00:51] [Worker-Main-2/INFO]: Preparing spawn area: 44%
[03:00:52] [Worker-Main-1/INFO]: Preparing spawn area: 46%
[03:00:52] [Worker-Main-1/INFO]: Preparing spawn area: 50%
[03:00:53] [Worker-Main-3/INFO]: Preparing spawn area: 52%
[03:00:53] [Worker-Main-2/INFO]: Preparing spawn area: 55%
[03:00:54] [Worker-Main-1/INFO]: Preparing spawn area: 57%
[03:00:54] [Worker-Main-1/INFO]: Preparing spawn area: 59%
[03:00:55] [Worker-Main-1/INFO]: Preparing spawn area: 62%
[03:00:55] [Worker-Main-3/INFO]: Preparing spawn area: 64%
[03:00:56] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[03:00:56] [Worker-Main-2/INFO]: Preparing spawn area: 70%
[03:00:57] [Worker-Main-3/INFO]: Preparing spawn area: 72%
[03:00:57] [Worker-Main-1/INFO]: Preparing spawn area: 75%
[03:00:58] [Worker-Main-1/INFO]: Preparing spawn area: 79%
[03:00:58] [Worker-Main-3/INFO]: Preparing spawn area: 82%
[03:00:59] [Worker-Main-1/INFO]: Preparing spawn area: 85%
[03:00:59] [Worker-Main-2/INFO]: Preparing spawn area: 87%
[03:01:00] [Worker-Main-1/INFO]: Preparing spawn area: 90%
[03:01:00] [Worker-Main-3/INFO]: Preparing spawn area: 94%
[03:01:01] [Worker-Main-1/INFO]: Preparing spawn area: 97%
[03:01:01] [Server thread/INFO]: Time elapsed: 24773 ms
[03:01:01] [Server thread/INFO]: Done (30.099s)! For help, type "help"
[03:09:00] [Server thread/INFO]: Asdelas40k[/127.131.248.152:45711] logged in with entity id 240 at (56.5, 68.0, 40.5)
[03:09:00] [Server thread/INFO]: Asdelas40k joined the game
